#          #      freq(cm^-1)
           1  -3.5584283595399412E-005
           2  -2.1600284360610725E-005
           3   7.4881536592371009E-006
           4   1.6092280296506431E-005
           5   2.2319420639641257E-005
           6   3.3312043842856201E-005
           7   110.21821374356982     
           8   241.49989067247759     
           9   334.28028952124185     
          10   391.75819051160460     
          11   414.98450814097720     
          12   592.97641480318384     
          13   628.99175057158345     
          14   1083.5139575927410     
          15   1147.7497976159618     
          16   1258.3597935574674     
          17   1297.4366826204650     
          18   2693.4233017430452     
          19   2701.2338014143656     
          20   2810.2910482975685     
          21   2812.4628356416470  
