#          #      freq(cm^-1)
           1  -5.1644102939031880E-005
           2  -2.9538438402588935E-005
           3  -1.6854973692415566E-005
           4   1.0569678599407320E-005
           5   3.1338750754314229E-005
           6   4.0022206990982111E-005
           7   152.62342699182523     
           8   333.02914115049276     
           9   464.79795364179427     
          10   534.40968517502449     
          11   545.40601494115651     
          12   628.58211547462975     
          13   861.79672581196587     
          14   1492.4643718075220     
          15   1578.2020666170752     
          16   1719.7955363523083     
          17   1768.5167417954649     
          18   3741.3384532434220     
          19   3746.4207270416027     
          20   3827.6159671717819     
          21   3830.8467286028012     
