#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.172517414142 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.19011600      0.9794608267E+00
  -0.3999000000     -6.18739486      0.9775163696E+00
  -0.3998000000     -6.18467372      0.9751600184E+00
  -0.3997000000     -6.18195258      0.9723770645E+00
  -0.3996000000     -6.17923144      0.9691550770E+00
  -0.3995000000     -6.17651031      0.9654840388E+00
  -0.3994000000     -6.17378917      0.9613564567E+00
  -0.3993000000     -6.17106803      0.9567674448E+00
  -0.3992000000     -6.16834689      0.9517147772E+00
  -0.3991000000     -6.16562575      0.9461989102E+00
  -0.3990000000     -6.16290461      0.9402229732E+00
  -0.3989000000     -6.16018347      0.9337927272E+00
  -0.3988000000     -6.15746234      0.9269164934E+00
  -0.3987000000     -6.15474120      0.9196050510E+00
  -0.3986000000     -6.15202006      0.9118715089E+00
  -0.3985000000     -6.14929892      0.9037311512E+00
  -0.3984000000     -6.14657778      0.8952012615E+00
  -0.3983000000     -6.14385664      0.8863009283E+00
  -0.3982000000     -6.14113551      0.8770508362E+00
  -0.3981000000     -6.13841437      0.8674730456E+00
  -0.3980000000     -6.13569323      0.8575907656E+00
  -0.3979000000     -6.13297209      0.8474281247E+00
  -0.3978000000     -6.13025095      0.8370099410E+00
  -0.3977000000     -6.12752981      0.8263614975E+00
  -0.3976000000     -6.12480868      0.8155083244E+00
  -0.3975000000     -6.12208754      0.8044759922E+00
  -0.3974000000     -6.11936640      0.7932899166E+00
  -0.3973000000     -6.11664526      0.7819751787E+00
  -0.3972000000     -6.11392412      0.7705563608E+00
  -0.3971000000     -6.11120298      0.7590573997E+00
  -0.3970000000     -6.10848185      0.7475014573E+00
  -0.3969000000     -6.10576071      0.7359108099E+00
  -0.3968000000     -6.10303957      0.7243067548E+00
  -0.3967000000     -6.10031843      0.7127095343E+00
  -0.3966000000     -6.09759729      0.7011382773E+00
  -0.3965000000     -6.09487615      0.6896109557E+00
  -0.3964000000     -6.09215501      0.6781443564E+00
  -0.3963000000     -6.08943388      0.6667540664E+00
  -0.3962000000     -6.08671274      0.6554544703E+00
  -0.3961000000     -6.08399160      0.6442587591E+00
  -0.3960000000     -6.08127046      0.6331789483E+00
  -0.3959000000     -6.07854932      0.6222259041E+00
  -0.3958000000     -6.07582818      0.6114093773E+00
  -0.3957000000     -6.07310705      0.6007380426E+00
  -0.3956000000     -6.07038591      0.5902195422E+00
  -0.3955000000     -6.06766477      0.5798605338E+00
  -0.3954000000     -6.06494363      0.5696667411E+00
  -0.3953000000     -6.06222249      0.5596430054E+00
  -0.3952000000     -6.05950135      0.5497933390E+00
  -0.3951000000     -6.05678022      0.5401209786E+00
  -0.3950000000     -6.05405908      0.5306284385E+00
  -0.3949000000     -6.05133794      0.5213175631E+00
  -0.3948000000     -6.04861680      0.5121895785E+00
  -0.3947000000     -6.04589566      0.5032451417E+00
  -0.3946000000     -6.04317452      0.4944843894E+00
  -0.3945000000     -6.04045339      0.4859069834E+00
  -0.3944000000     -6.03773225      0.4775121552E+00
  -0.3943000000     -6.03501111      0.4692987473E+00
  -0.3942000000     -6.03228997      0.4612652526E+00
  -0.3941000000     -6.02956883      0.4534098515E+00
  -0.3940000000     -6.02684769      0.4457304466E+00
  -0.3939000000     -6.02412655      0.4382246951E+00
  -0.3938000000     -6.02140542      0.4308900387E+00
  -0.3937000000     -6.01868428      0.4237237316E+00
  -0.3936000000     -6.01596314      0.4167228661E+00
  -0.3935000000     -6.01324200      0.4098843965E+00
  -0.3934000000     -6.01052086      0.4032051605E+00
  -0.3933000000     -6.00779972      0.3966818989E+00
  -0.3932000000     -6.00507859      0.3903112742E+00
