#non-spin-polarized calculation
#bias =  0.000000 V    efermi =  -0.177741388114 H
#   E [Hartree]       E-EF [eV]       T(E) per spin
  -0.4000000000     -6.04796444      0.2615491084E-01
  -0.3999000000     -6.04524330      0.2803343662E-01
  -0.3998000000     -6.04252216      0.3001074227E-01
  -0.3997000000     -6.03980102      0.3209102277E-01
  -0.3996000000     -6.03707988      0.3427863844E-01
  -0.3995000000     -6.03435874      0.3657811766E-01
  -0.3994000000     -6.03163760      0.3899415933E-01
  -0.3993000000     -6.02891647      0.4153163472E-01
  -0.3992000000     -6.02619533      0.4419558893E-01
  -0.3991000000     -6.02347419      0.4699124169E-01
  -0.3990000000     -6.02075305      0.4992398741E-01
  -0.3989000000     -6.01803191      0.5299939455E-01
  -0.3988000000     -6.01531077      0.5622320399E-01
  -0.3987000000     -6.01258964      0.5960132642E-01
  -0.3986000000     -6.00986850      0.6313983859E-01
  -0.3985000000     -6.00714736      0.6684497832E-01
  -0.3984000000     -6.00442622      0.7072313804E-01
  -0.3983000000     -6.00170508      0.7478085683E-01
  -0.3982000000     -5.99898394      0.7902481074E-01
  -0.3981000000     -5.99626281      0.8346180121E-01
  -0.3980000000     -5.99354167      0.8809874149E-01
  -0.3979000000     -5.99082053      0.9294264082E-01
  -0.3978000000     -5.98809939      0.9800058630E-01
  -0.3977000000     -5.98537825      0.1032797221E+00
  -0.3976000000     -5.98265711      0.1087872259E+00
  -0.3975000000     -5.97993598      0.1145302829E+00
  -0.3974000000     -5.97721484      0.1205160559E+00
  -0.3973000000     -5.97449370      0.1267516529E+00
  -0.3972000000     -5.97177256      0.1332440913E+00
  -0.3971000000     -5.96905142      0.1400002580E+00
  -0.3970000000     -5.96633028      0.1470268670E+00
  -0.3969000000     -5.96360914      0.1543304126E+00
  -0.3968000000     -5.96088801      0.1619171189E+00
  -0.3967000000     -5.95816687      0.1697928866E+00
  -0.3966000000     -5.95544573      0.1779632355E+00
  -0.3965000000     -5.95272459      0.1864332439E+00
  -0.3964000000     -5.95000345      0.1952074849E+00
  -0.3963000000     -5.94728231      0.2042899598E+00
  -0.3962000000     -5.94456118      0.2136840294E+00
  -0.3961000000     -5.94184004      0.2233923423E+00
  -0.3960000000     -5.93911890      0.2334167629E+00
  -0.3959000000     -5.93639776      0.2437582980E+00
  -0.3958000000     -5.93367662      0.2544170229E+00
  -0.3957000000     -5.93095548      0.2653920096E+00
  -0.3956000000     -5.92823435      0.2766812551E+00
  -0.3955000000     -5.92551321      0.2882816136E+00
  -0.3954000000     -5.92279207      0.3001887324E+00
  -0.3953000000     -5.92007093      0.3123969924E+00
  -0.3952000000     -5.91734979      0.3248994551E+00
  -0.3951000000     -5.91462865      0.3376878178E+00
  -0.3950000000     -5.91190752      0.3507523765E+00
