# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.050198751 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.050198751                   0.050198751                   0.000000000                  -0.000000000
               0.999                    0.050198751                   0.050198751                   0.000003168                  -0.000000000
               1.998                    0.050198751                   0.050198755                   0.000109110                  -0.000000004
               2.996                    0.050198745                   0.050198775                   0.000394344                  -0.000000030
               3.995                    0.050198728                   0.050198831                   0.000947244                  -0.000000103
               4.994                    0.050198690                   0.050198949                   0.001871626                  -0.000000259
               5.993                    0.050198620                   0.050199167                   0.003273871                  -0.000000546
               6.991                    0.050198503                   0.050199530                   0.005272667                  -0.000001027
               7.990                    0.050198320                   0.050200095                   0.008006294                  -0.000001775
               8.989                    0.050198051                   0.050200934                   0.011642822                  -0.000002882
               9.988                    0.050197671                   0.050202131                   0.016389004                  -0.000004460
              10.986                    0.050197148                   0.050203794                   0.022492510                  -0.000006645
              11.985                    0.050196450                   0.050206050                   0.030235313                  -0.000009600
              12.984                    0.050195534                   0.050209054                   0.039919991                  -0.000013520
              13.983                    0.050194353                   0.050212986                   0.051852740                  -0.000018633
              14.981                    0.050192853                   0.050218052                   0.066326751                  -0.000025200
              15.980                    0.050190971                   0.050224483                   0.083608346                  -0.000033512
              16.979                    0.050188639                   0.050232531                   0.103926833                  -0.000043892
              17.978                    0.050185781                   0.050242465                   0.127468079                  -0.000056684
              18.976                    0.050182312                   0.050254569                   0.154371258                  -0.000072257
              19.975                    0.050178144                   0.050269136                   0.184728113                  -0.000090992
              20.974                    0.050173180                   0.050286467                   0.218584053                  -0.000113286
              21.973                    0.050167320                   0.050306862                   0.255940572                  -0.000139542
              22.971                    0.050160459                   0.050330621                   0.296758562                  -0.000170163
              23.970                    0.050152487                   0.050358041                   0.340962225                  -0.000205554
              24.969                    0.050143291                   0.050389406                   0.388443339                  -0.000246114
              25.968                    0.050132759                   0.050424994                   0.439065698                  -0.000292235
              26.966                    0.050120773                   0.050465069                   0.492669585                  -0.000344296
              27.965                    0.050107216                   0.050509878                   0.549076168                  -0.000402662
              28.964                    0.050091972                   0.050559657                   0.608091707                  -0.000467684
              29.963                    0.050074924                   0.050614619                   0.669511518                  -0.000539696
              30.961                    0.050055954                   0.050674964                   0.733123635                  -0.000619010
              31.960                    0.050034950                   0.050740870                   0.798712124                  -0.000705920
              32.959                    0.050011797                   0.050812498                   0.866060038                  -0.000800701
              33.958                    0.049986386                   0.050889990                   0.934952000                  -0.000903605
              34.956                    0.049958608                   0.050973471                   1.005176417                  -0.001014863
              35.955                    0.049928359                   0.051063045                   1.076527337                  -0.001134686
              36.954                    0.049895537                   0.051158802                   1.148805974                  -0.001263265
              37.953                    0.049860042                   0.051260812                   1.221821912                  -0.001400770
              38.951                    0.049821781                   0.051369132                   1.295394037                  -0.001547351
