# Phonon free energy and specific heat from phonopy-FHI-aims
# Phonon zero point energy =            0.123284843 eV 
#     Temperature (K)          Free energy (eV/cell)     Internal energy (eV/cell)                 c_v (kB/cell)              -TS_vib(eV/cell)
               0.000                    0.123284843                   0.123284843                   0.000000000                  -0.000000000
               0.999                    0.123284843                   0.123284843                           nan                  -0.000000000
               1.998                    0.123284843                   0.123284845                   0.000060947                  -0.000000002
               2.996                    0.123284840                   0.123284857                   0.000234995                  -0.000000017
               3.995                    0.123284830                   0.123284890                   0.000553933                  -0.000000060
               4.994                    0.123284808                   0.123284959                   0.001080860                  -0.000000150
               5.993                    0.123284768                   0.123285083                   0.001870145                  -0.000000316
               6.991                    0.123284700                   0.123285289                   0.002973823                  -0.000000589
               7.990                    0.123284596                   0.123285606                   0.004446543                  -0.000001010
               8.989                    0.123284443                   0.123286067                   0.006347259                  -0.000001624
               9.988                    0.123284230                   0.123286713                   0.008740787                  -0.000002482
              10.986                    0.123283942                   0.123287588                   0.011699432                  -0.000003646
              11.985                    0.123283562                   0.123288745                   0.015303775                  -0.000005183
              12.984                    0.123283072                   0.123290243                   0.019641749                  -0.000007172
              13.983                    0.123282451                   0.123292150                   0.024805776                  -0.000009698
              14.981                    0.123281678                   0.123294539                   0.030888406                  -0.000012861
              15.980                    0.123280728                   0.123297495                   0.037977268                  -0.000016768
              16.979                    0.123279573                   0.123301108                   0.046150197                  -0.000021535
              17.978                    0.123278184                   0.123305472                   0.055471191                  -0.000027288
              18.976                    0.123276530                   0.123310690                   0.065987591                  -0.000034160
              19.975                    0.123274577                   0.123316866                   0.077728572                  -0.000042289
              20.974                    0.123272289                   0.123324105                   0.090704871                  -0.000051816
              21.973                    0.123269629                   0.123332514                   0.104909514                  -0.000062885
              22.971                    0.123266559                   0.123342198                   0.120319305                  -0.000075639
              23.970                    0.123263039                   0.123353259                   0.136896808                  -0.000090220
              24.969                    0.123259027                   0.123365794                   0.154592585                  -0.000106767
              25.968                    0.123254483                   0.123379899                   0.173347526                  -0.000125416
              26.966                    0.123249366                   0.123395662                   0.193095119                  -0.000146296
              27.965                    0.123243633                   0.123413164                   0.213763571                  -0.000169531
              28.964                    0.123237243                   0.123432481                   0.235277728                  -0.000195239
              29.963                    0.123230154                   0.123453684                   0.257560751                  -0.000223530
              30.961                    0.123222327                   0.123476835                   0.280535556                  -0.000254508
              31.960                    0.123213721                   0.123501991                   0.304126008                  -0.000288270
              32.959                    0.123204297                   0.123529201                   0.328257897                  -0.000324903
              33.958                    0.123194018                   0.123558508                   0.352859703                  -0.000364490
              34.956                    0.123182845                   0.123589951                   0.377863188                  -0.000407106
              35.955                    0.123170743                   0.123623560                   0.403203826                  -0.000452817
              36.954                    0.123157677                   0.123659363                   0.428821099                  -0.000501686
              37.953                    0.123143613                   0.123697380                   0.454658683                  -0.000553766
              38.951                    0.123128521                   0.123737629                   0.480664538                  -0.000609108
              39.950                    0.123112367                   0.123780121                   0.506790919                  -0.000667754
              40.949                    0.123095123                   0.123824865                   0.532994332                  -0.000729742
              41.948                    0.123076761                   0.123871867                   0.559235438                  -0.000795107
              42.946                    0.123057252                   0.123921128                   0.585478915                  -0.000863875
              43.945                    0.123036572                   0.123972646                   0.611693304                  -0.000936074
              44.944                    0.123014695                   0.124026418                   0.637850817                  -0.001011722
              45.943                    0.122991599                   0.124082438                   0.663927149                  -0.001090839
              46.941                    0.122967260                   0.124140698                   0.689901267                  -0.001173437
              47.940                    0.122941659                   0.124201188                   0.715755200                  -0.001259529
              48.939                    0.122914773                   0.124263898                   0.741473831                  -0.001349124
              49.938                    0.122886586                   0.124328815                   0.767044682                  -0.001442229
              50.936                    0.122857078                   0.124395926                   0.792457708                  -0.001538847
              51.935                    0.122826234                   0.124465217                   0.817705097                  -0.001638984
              52.934                    0.122794035                   0.124536674                   0.842781073                  -0.001742638
              53.933                    0.122760469                   0.124610281                   0.867681709                  -0.001849813
              54.931                    0.122725519                   0.124686024                   0.892404745                  -0.001960505
              55.930                    0.122689173                   0.124763887                   0.916949418                  -0.002074714
              56.929                    0.122651418                   0.124843855                   0.941316300                  -0.002192437
              57.928                    0.122612242                   0.124925913                   0.965507144                  -0.002313671
              58.926                    0.122571633                   0.125010044                   0.989524738                  -0.002438412
              59.925                    0.122529580                   0.125096236                   1.013372773                  -0.002566656
              60.924                    0.122486074                   0.125184473                   1.037055712                  -0.002698399
              61.923                    0.122441105                   0.125274742                   1.060578676                  -0.002833637
              62.921                    0.122394664                   0.125367028                   1.083947336                  -0.002972364
              63.920                    0.122346741                   0.125461319                   1.107167808                  -0.003114577
              64.919                    0.122297330                   0.125557602                   1.130246562                  -0.003260272
              65.918                    0.122246423                   0.125655866                   1.153190339                  -0.003409443
              66.916                    0.122194012                   0.125756099                   1.176006071                  -0.003562088
              67.915                    0.122140090                   0.125858291                   1.198700812                  -0.003718201
              68.914                    0.122084651                   0.125962430                   1.221281673                  -0.003877780
              69.913                    0.122027688                   0.126068509                   1.243755766                  -0.004040820
