#   Eigenvalue [eV]  Maximum Occupation [e]
   -1789.525           2.000000000
   -1789.468           2.000000000
   -1789.453           6.000000000
   -1789.452           4.000000000
   -1789.451           4.000000000
   -1789.449           4.000000000
   -1789.448           2.000000000
   -1789.447           4.000000000
   -1789.445           2.000000000
   -1789.443           2.000000000
   -1789.442           2.000000000
   -1789.438           2.000000000
   -1789.436           2.000000000
   -1789.430           2.000000000
   -1789.424           2.000000000
   -1789.338           2.000000000
   -1789.325           2.000000000
   -1789.302           2.000000000
   -1789.263           2.000000000
   -1789.084           2.000000000
    -139.267           2.000000000
    -139.250           0.755000000
    -139.249           1.245000000
    -139.241           0.425000000
    -139.240           1.575000000
    -139.239           1.790000000
    -139.238           2.120000000
    -139.237           1.125000000
    -139.236           1.835000000
    -139.235           1.675000000
    -139.234           3.240000000
    -139.233           1.160000000
    -139.232           1.415000000
    -139.231           2.005000000
    -139.230           2.820000000
    -139.229           1.550000000
    -139.228           2.055000000
    -139.227           1.115000000
    -139.226           0.910000000
    -139.225           1.185000000
    -139.222           1.395000000
    -139.221           2.605000000
    -139.219           0.995000000
    -139.218           1.005000000
    -139.214           1.245000000
    -139.213           0.755000000
    -139.205           2.000000000
    -139.142           0.155000000
    -139.141           1.845000000
    -139.132           1.365000000
    -139.131           0.635000000
    -139.093           2.000000000
    -139.048           2.000000000
    -138.881           2.000000000
     -95.313           0.270000000
     -95.312           1.730000000
     -95.282           4.000000000
     -95.277           0.630000000
     -95.276           3.260000000
     -95.275           0.110000000
     -95.274           2.000000000
     -95.270           0.270000000
     -95.269           2.680000000
     -95.268           1.415000000
     -95.267           3.210000000
     -95.266           2.430000000
     -95.265           1.815000000
     -95.264           3.025000000
     -95.263           2.715000000
     -95.262           2.055000000
     -95.261           5.170000000
     -95.260           3.615000000
     -95.259           3.220000000
     -95.258           2.445000000
     -95.257           2.445000000
     -95.256           3.580000000
     -95.255           2.650000000
     -95.254           2.740000000
     -95.253           3.310000000
     -95.252           3.330000000
     -95.251           2.875000000
     -95.250           4.495000000
     -95.249           3.505000000
     -95.248           4.545000000
     -95.247           6.185000000
     -95.246           6.000000000
     -95.245           3.015000000
     -95.244           4.820000000
     -95.243           4.920000000
     -95.242           3.520000000
     -95.241           1.670000000
     -95.240           0.330000000
     -95.239           0.120000000
     -95.238           1.455000000
     -95.237           0.850000000
     -95.236           1.515000000
     -95.235           0.060000000
     -95.234           1.880000000
     -95.233           0.120000000
     -95.231           0.480000000
     -95.230           1.335000000
     -95.229           0.790000000
     -95.228           1.395000000
     -95.226           0.655000000
     -95.225           1.345000000
     -95.224           1.155000000
     -95.223           1.030000000
     -95.222           1.785000000
     -95.221           0.030000000
     -95.174           1.365000000
     -95.173           0.940000000
     -95.172           1.425000000
     -95.171           0.270000000
     -95.154           2.000000000
     -95.153           0.030000000
     -95.152           0.915000000
     -95.151           0.450000000
     -95.150           0.330000000
     -95.149           0.180000000
     -95.148           0.190000000
     -95.147           1.785000000
     -95.146           0.120000000
     -95.145           0.065000000
     -95.144           0.240000000
     -95.143           0.750000000
     -95.142           0.945000000
     -95.122           2.000000000
     -95.111           4.000000000
     -95.092           2.000000000
     -95.060           1.545000000
     -95.059           2.455000000
     -94.940           1.055000000
     -94.939           0.945000000
     -94.885           4.000000000
     -17.141           0.005000000
     -17.112           0.030000000
     -17.059           0.005000000
     -17.055           0.030000000
     -17.031           0.030000000
     -17.027           0.030000000
     -16.974           0.030000000
     -16.966           0.005000000
     -16.946           0.030000000
     -16.942           0.060000000
     -16.937           0.030000000
     -16.886           0.030000000
     -16.880           0.030000000
     -16.861           0.060000000
     -16.852           0.035000000
     -16.823           0.030000000
     -16.804           0.030000000
     -16.801           0.030000000
     -16.773           0.060000000
     -16.767           0.060000000
     -16.766           0.030000000
     -16.738           0.030000000
     -16.720           0.030000000
     -16.711           0.030000000
     -16.704           0.005000000
     -16.692           0.060000000
